Date,PRX,ANH,NPN,BTI,GLN,CFR,BHG,AGL,AMS,FSR,VOD,SBK,KIO,IMP,SSW,CPI,MTN,MNP,S32,SOL,GFI,SLM,ANG,ABG,NPH,BID,SHP,DSY,NED,APN,PPH,OMU,BVT,CLS,REM,MCG,MRP,ARI,WHL,EXX
2022-02-09,127880.0,94569.0,250000.0,67819.0,8733.0,22403.0,52007.0,72672.0,190262.0,6425.0,14500.0,15390.0,60667.0,22994.0,5818.0,212386.0,18659.0,40097.0,5101.0,33160.0,17118.0,6435.0,30818.0,17295.0,20605.0,33969.0,22432.0,16255.0,20126.0,20628.0,2243.0,1446.0,19371.0,30059.0,13500.0,12400.0,21075.0,23053.0,5307.0,18179.0
2022-02-10,123330.0,96619.0,243525.0,67624.0,8609.0,21908.0,52454.0,73380.0,185074.0,6400.0,14815.0,15531.0,67805.0,23295.0,5811.0,210025.0,18785.0,39802.0,4982.0,33089.0,17112.0,6572.0,30450.0,17527.0,20223.0,33942.0,22459.0,16341.0,20526.0,20567.0,2260.0,1440.0,19831.0,29624.0,13610.0,12517.0,21502.0,24283.0,5377.0,18611.0
2022-02-11,119616.0,95995.0,239777.0,68700.0,8576.0,21907.0,51130.0,73352.0,194856.0,6507.0,14914.0,15326.0,68467.0,23471.0,5880.0,212756.0,18692.0,39539.0,4897.0,32605.0,16622.0,6667.0,29816.0,17571.0,20973.0,32900.0,22250.0,16400.0,20643.0,20393.0,2272.0,1419.0,21723.0,29616.0,13592.0,12706.0,21492.0,25532.0,5417.0,19113.0
2022-02-14,115500.0,93586.0,228719.0,70080.0,8580.0,21200.0,49475.0,73002.0,193225.0,6378.0,14829.0,15458.0,67127.0,23927.0,6160.0,211337.0,18744.0,38170.0,4950.0,33931.0,18444.0,6511.0,32300.0,17577.0,21072.0,32981.0,22235.0,16150.0,20660.0,20244.0,2273.0,1362.0,21200.0,29866.0,13390.0,12524.0,21391.0,25489.0,5331.0,19215.0
2022-02-15,115657.0,94697.0,228139.0,70606.0,8725.0,21851.0,48294.0,71948.0,187935.0,6655.0,14965.0,16182.0,65260.0,23020.0,5739.0,209000.0,18568.0,39045.0,4900.0,32389.0,17806.0,6600.0,31706.0,18089.0,20683.0,33639.0,22953.0,16406.0,21380.0,20752.0,2350.0,1381.0,20915.0,30160.0,13922.0,12831.0,21760.0,24727.0,5371.0,19301.0
2022-02-16,114427.0,96546.0,226806.0,69762.0,8645.0,21554.0,49692.0,73010.0,191000.0,6754.0,14968.0,16489.0,67849.0,23735.0,6050.0,208716.0,18642.0,39025.0,4850.0,33881.0,18013.0,6702.0,32797.0,18105.0,21377.0,33982.0,22835.0,16646.0,21740.0,20531.0,2358.0,1410.0,21029.0,30229.0,14190.0,13045.0,21944.0,25696.0,5420.0,19580.0
2022-02-17,113933.0,94499.0,226486.0,69714.0,8548.0,21317.0,49780.0,72115.0,193312.0,6661.0,14905.0,16250.0,65602.0,24603.0,6305.0,207697.0,18322.0,39207.0,4897.0,33159.0,18100.0,6719.0,33130.0,17600.0,21989.0,34134.0,22885.0,16582.0,21620.0,20830.0,2310.0,1387.0,21035.0,29836.0,14111.0,13050.0,21938.0,25441.0,5301.0,19498.0
2022-02-18,111570.0,95897.0,223695.0,70264.0,8674.0,21354.0,50600.0,72900.0,196082.0,6641.0,14907.0,16125.0,66225.0,25028.0,6274.0,207823.0,18272.0,39804.0,5052.0,32926.0,19158.0,6682.0,33550.0,17343.0,22071.0,33413.0,23007.0,16496.0,21475.0,20302.0,2257.0,1375.0,20935.0,29825.0,14185.0,12723.0,21870.0,24806.0,5230.0,19580.0
2022-02-21,102929.0,93278.0,205722.0,69368.0,8600.0,21113.0,52520.0,73039.0,194353.0,6590.0,14930.0,15996.0,67850.0,24521.0,6123.0,209500.0,18274.0,39601.0,4982.0,31808.0,19283.0,6642.0,33488.0,17418.0,22013.0,33404.0,22945.0,16295.0,21432.0,20281.0,2276.0,1362.0,20870.0,29973.0,14150.0,12881.0,22198.0,24756.0,5202.0,19450.0
2022-02-22,103058.0,93178.0,204969.0,68999.0,8632.0,21105.0,53000.0,74214.0,200047.0,6515.0,14696.0,15865.0,66281.0,25377.0,6439.0,209049.0,17962.0,39050.0,4836.0,33604.0,19595.0,6480.0,34086.0,17376.0,23109.0,32844.0,22751.0,16081.0,21030.0,20474.0,2228.0,1325.0,20785.0,29869.0,14072.0,12624.0,22050.0,26152.0,5143.0,19438.0
