Date,BHG,PRX,ANH,BTI,GLN,NPN,AGL,FSR,AMS,GFI,SBK,VOD,S32,ANG,MTN,CPI,IMP,KIO,SOL,MNP,ABG,BID,SHP,SLM,SSW,NED,DSY,MEI,BVT,RNI,APN,INP,REM,NRP,NPH,CLS,WHL,EXX,HAR
2023-02-28,56293.0,133700.0,112035.0,70092.0,10991.0,325705.0,63667.0,6555.0,101722.0,16679.0,18358.0,12671.0,5411.0,31008.0,14481.0,175451.0,17151.0,47906.0,27034.0,31300.0,19845.0,40220.0,22254.0,5983.0,3711.0,23058.0,14975.0,11085.0,23433.0,36300.0,14189.0,11829.0,13978.0,11017.0,15125.0,26750.0,7700.0,20112.0,5581.0
2023-03-01,57482.0,138400.0,110624.0,68689.0,11190.0,341927.0,65193.0,6683.0,101234.0,16792.0,18569.0,12707.0,5560.0,31149.0,14509.0,176223.0,17275.0,48408.0,27134.0,31234.0,20282.0,40366.0,22337.0,5989.0,3686.0,23374.0,14905.0,10877.0,23658.0,38100.0,16075.0,11699.0,13901.0,10967.0,15091.0,27063.0,7451.0,20193.0,5620.0
2023-03-02,57667.0,133840.0,110013.0,68454.0,11014.0,327271.0,64716.0,6689.0,99407.0,16735.0,18320.0,12810.0,5700.0,31251.0,14323.0,174150.0,16585.0,48157.0,26944.0,30800.0,19875.0,39911.0,22368.0,5835.0,3653.0,22923.0,14564.0,10820.0,23401.0,37550.0,16874.0,11142.0,13863.0,10866.0,14760.0,26479.0,7190.0,19859.0,5571.0
2023-03-03,59528.0,134970.0,110906.0,68421.0,11402.0,325916.0,66287.0,6690.0,101990.0,17264.0,18311.0,12827.0,5860.0,32000.0,14360.0,173251.0,17000.0,49421.0,27182.0,30830.0,19860.0,40084.0,22283.0,5902.0,3725.0,23232.0,14599.0,10766.0,23402.0,37486.0,17250.0,11300.0,14044.0,11013.0,15189.0,26849.0,7162.0,20163.0,5769.0
2023-03-06,58299.0,135284.0,111711.0,68594.0,10985.0,327926.0,63845.0,6700.0,98500.0,17227.0,18736.0,12984.0,5734.0,32025.0,14624.0,177099.0,16862.0,47589.0,26933.0,30600.0,19950.0,40961.0,22500.0,5913.0,3699.0,23383.0,14650.0,10892.0,26979.0,38200.0,16878.0,11499.0,14160.0,11081.0,14950.0,26955.0,7172.0,19492.0,5809.0
2023-03-07,58003.0,134050.0,112241.0,69327.0,10649.0,328188.0,63600.0,6739.0,97080.0,16953.0,18310.0,12791.0,5600.0,31545.0,14447.0,179024.0,16838.0,48686.0,26487.0,30427.0,19596.0,40833.0,22400.0,5916.0,3657.0,23172.0,14665.0,10958.0,26725.0,37717.0,16259.0,11531.0,13977.0,11270.0,14961.0,27448.0,7153.0,19500.0,5642.0
2023-03-08,56859.0,131864.0,111450.0,69240.0,10599.0,322615.0,62970.0,6621.0,100017.0,17028.0,17864.0,12781.0,5448.0,31895.0,14438.0,175974.0,17063.0,48237.0,26171.0,30628.0,19143.0,40828.0,21793.0,5838.0,3724.0,22299.0,14530.0,10900.0,26238.0,37514.0,17025.0,11284.0,13978.0,11390.0,15121.0,27071.0,7056.0,19563.0,5613.0
2023-03-09,57285.0,130350.0,114180.0,69353.0,10520.0,316820.0,62930.0,6804.0,98709.0,16951.0,17982.0,12703.0,5463.0,31757.0,14339.0,175109.0,17118.0,48124.0,25896.0,30234.0,19338.0,40022.0,21873.0,5839.0,3719.0,22730.0,14472.0,11000.0,26170.0,37261.0,17807.0,11427.0,13965.0,11300.0,14926.0,26866.0,6946.0,18648.0,5548.0
2023-03-10,55595.0,125691.0,111705.0,68610.0,10325.0,304970.0,61960.0,6718.0,99989.0,17520.0,17568.0,12702.0,5265.0,32629.0,14134.0,168873.0,17296.0,49169.0,25369.0,29434.0,18762.0,40450.0,21750.0,5927.0,3782.0,22570.0,14362.0,10950.0,26508.0,37158.0,18694.0,11058.0,13785.0,11226.0,15085.0,26620.0,6865.0,18693.0,5767.0
2023-03-13,55500.0,127104.0,109419.0,67391.0,10182.0,309001.0,61126.0,6516.0,103337.0,19571.0,17048.0,12558.0,5114.0,35867.0,12624.0,165217.0,18200.0,48832.0,24285.0,29361.0,17519.0,39590.0,21493.0,5706.0,3986.0,22094.0,14213.0,10933.0,26377.0,36155.0,18407.0,10465.0,13454.0,11189.0,16018.0,26111.0,6714.0,18806.0,6657.0
