Date,PRX,ANH,NPN,BTI,GLN,CFR,BHP,AGL,AMS,FSR,VOD,SBK,KIO,IMP,SSW,CPI,MTN,MNP,S32,SOL,GFI,SLM,ANG,ABG,NHM,BID,SHP,DSY,NED,APN,PPH,OMU,BVT,CLS,REM,MCG,MRP,ARI,WHL,EXX
2021-02-17,193179.0,95023.0,381196.0,53421.0,5988.0,14424.0,46350.0,57471.0,169224.0,5114.0,12515.0,13583.0,64020.0,22981.0,6940.0,138546.0,7128.0,37640.0,3005.0,20000.0,13050.0,6157.0,31445.0,12886.0,20274.0,27657.0,14444.0,14014.0,13456.0,14380.0,1500.0,1382.0,17394.0,25375.0,10532.0,12774.0,18034.0,28129.0,4507.0,17699.0
2021-02-18,191809.0,92936.0,378075.0,52696.0,6010.0,14258.0,45965.0,56823.0,173078.0,5108.0,12500.0,13484.0,64022.0,23536.0,6880.0,136129.0,7100.0,36502.0,3020.0,19884.0,12579.0,6115.0,30114.0,12662.0,20590.0,27722.0,14249.0,14056.0,13360.0,14477.0,1477.0,1362.0,17070.0,24902.0,10500.0,12629.0,17813.0,29307.0,4505.0,17624.0
2021-02-19,193776.0,95141.0,383486.0,52880.0,6160.0,14490.0,46833.0,58716.0,175239.0,5094.0,12612.0,13488.0,67043.0,24125.0,6843.0,135607.0,7270.0,37195.0,3075.0,20296.0,12555.0,6244.0,30640.0,12416.0,21586.0,28869.0,14124.0,14256.0,13238.0,14621.0,1446.0,1386.0,17469.0,24959.0,10560.0,12990.0,17810.0,29048.0,4507.0,17845.0
2021-02-22,186400.0,94500.0,374150.0,53018.0,6279.0,14526.0,47288.0,58234.0,177905.0,5067.0,12607.0,13524.0,66819.0,24697.0,7026.0,135141.0,7267.0,37223.0,3185.0,20139.0,12930.0,6222.0,30920.0,12337.0,21970.0,28794.0,14131.0,14591.0,13407.0,14309.0,1500.0,1376.0,17020.0,24521.0,10560.0,12953.0,17800.0,29443.0,4649.0,17790.0
2021-02-23,176473.0,94439.0,359519.0,53810.0,6117.0,14180.0,46742.0,57012.0,178999.0,5000.0,12574.0,13434.0,65099.0,23700.0,6729.0,132995.0,7223.0,36315.0,3250.0,19480.0,12700.0,6178.0,29890.0,11893.0,21152.0,28298.0,13818.0,14337.0,13275.0,14244.0,1486.0,1370.0,16999.0,24512.0,10431.0,13000.0,17392.0,28666.0,4558.0,17480.0
2021-02-24,176523.0,94000.0,356533.0,52927.0,6167.0,14436.0,47250.0,58113.0,178996.0,5067.0,12441.0,13627.0,65099.0,23573.0,6753.0,132800.0,7147.0,36682.0,3230.0,20099.0,12335.0,6200.0,29641.0,12110.0,21308.0,27542.0,13995.0,14591.0,13527.0,14090.0,1497.0,1376.0,17161.0,24512.0,10560.0,12427.0,17668.0,28801.0,4677.0,17657.0
2021-02-25,179954.0,90710.0,356188.0,53445.0,6419.0,14561.0,49025.0,62360.0,187801.0,5082.0,12372.0,13609.0,64200.0,25261.0,7467.0,133170.0,7330.0,37390.0,3311.0,20261.0,12694.0,6174.0,30721.0,12390.0,22925.0,28152.0,13693.0,14100.0,13308.0,14344.0,1492.0,1360.0,17100.0,24061.0,10500.0,12396.0,17420.0,29870.0,4713.0,17598.0
2021-02-26,176410.0,87611.0,351798.0,52285.0,6154.0,14621.0,47710.0,58085.0,183420.0,5032.0,12458.0,13300.0,64900.0,24607.0,7002.0,133875.0,7269.0,36529.0,3350.0,18843.0,12578.0,6078.0,30318.0,12134.0,22190.0,28335.0,13307.0,14165.0,13063.0,14245.0,1492.0,1345.0,16825.0,24476.0,10361.0,12765.0,17442.0,29497.0,4613.0,17110.0
2021-03-01,181100.0,88947.0,364899.0,52809.0,6211.0,14606.0,48165.0,60357.0,191090.0,5156.0,12525.0,13621.0,64400.0,25618.0,7199.0,135115.0,7527.0,36897.0,3056.0,19500.0,12530.0,6191.0,29961.0,12346.0,22823.0,29350.0,13417.0,14889.0,13400.0,14613.0,1464.0,1392.0,17312.0,24620.0,10466.0,12959.0,17477.0,30154.0,4817.0,17271.0
2021-03-02,183179.0,88230.0,371403.0,53291.0,6275.0,14712.0,49309.0,61510.0,197716.0,5205.0,12600.0,13761.0,63693.0,27052.0,7355.0,135642.0,7527.0,37621.0,3349.0,19299.0,12686.0,6206.0,29800.0,12650.0,24043.0,30143.0,13297.0,14568.0,13596.0,14816.0,1500.0,1410.0,17477.0,25273.0,10629.0,12964.0,17645.0,29716.0,4958.0,17018.0
2021-03-03,183282.0,88880.0,375645.0,53065.0,6266.0,14740.0,47291.0,60925.0,198274.0,5229.0,12522.0,13596.0,63301.0,26640.0,7427.0,134520.0,7600.0,38133.0,3302.0,19060.0,12640.0,6175.0,29782.0,12604.0,23900.0,31239.0,13100.0,14757.0,13669.0,14881.0,1495.0,1406.0,17656.0,24633.0,10700.0,12950.0,17576.0,28561.0,5040.0,17049.0
2021-03-04,176850.0,91305.0,360969.0,54343.0,6029.0,14340.0,46673.0,60791.0,200374.0,5362.0,12600.0,13725.0,62698.0,26778.0,7365.0,134000.0,7575.0,37493.0,3378.0,19652.0,13039.0,6158.0,30361.0,12748.0,24421.0,31527.0,13592.0,14811.0,13708.0,15023.0,1480.0,1398.0,17910.0,25127.0,10658.0,13044.0,17657.0,27503.0,5069.0,16900.0
2021-03-05,175061.0,92664.0,359563.0,55280.0,6162.0,14298.0,47200.0,62586.0,205000.0,5484.0,12540.0,13926.0,67865.0,27260.0,7303.0,133417.0,7602.0,37600.0,3373.0,22393.0,13630.0,6158.0,31633.0,12961.0,24567.0,31464.0,13433.0,14453.0,13826.0,14889.0,1455.0,1384.0,18000.0,24900.0,10645.0,12669.0,17370.0,27775.0,5026.0,17614.0
2021-03-08,170500.0,94072.0,350300.0,55681.0,6172.0,14616.0,47501.0,63440.0,208551.0,5455.0,12517.0,13950.0,65488.0,27880.0,7309.0,134202.0,7650.0,37711.0,3404.0,22655.0,14070.0,6201.0,33550.0,12890.0,24696.0,31500.0,13590.0,14338.0,14098.0,14804.0,1454.0,1340.0,18227.0,25100.0,10592.0,12782.0,17205.0,28095.0,5018.0,17427.0
2021-03-09,175700.0,95600.0,355886.0,55832.0,5992.0,14742.0,46318.0,61063.0,213873.0,5555.0,12531.0,14069.0,63719.0,28491.0,7134.0,137396.0,7589.0,38558.0,3500.0,22967.0,15100.0,6158.0,34552.0,13059.0,25000.0,31980.0,14107.0,14000.0,14449.0,14862.0,1509.0,1330.0,18391.0,24819.0,10750.0,12926.0,17668.0,27534.0,5073.0,17558.0
