Date,PRX,BTI,ANH,NPN,BHP,CFR,GLN,AGL,AMS,FSR,VOD,ANG,SBK,MNP,GFI,SLM,KIO,S32,CPI,SSW,MTN,IMP,BID,RMH,REM,ABG,SHP,DSY,OMU,RNI,APN,CLS,QLT,SOL,NRP,BVT,NED,NHM,ASR,MEI
2020-02-13,115665.0,65073.0,108932.0,269442.0,32850.0,11344.0,4577.0,41352.0,125500.0,6069.0,12300.0,29079.0,16675.0,32190.0,9362.0,7495.0,36169.0,2625.0,140537.0,2314.0,8785.0,15943.0,32652.0,7779.0,18603.0,14789.0,11310.0,11972.0,1775.0,33737.0,11335.0,25450.0,3270.0,23751.0,12264.0,21650.0,20117.0,13447.0,23620.0,7568.0
2020-02-14,115144.0,65250.0,109657.0,270750.0,32543.0,11263.0,4568.0,40828.0,126151.0,6130.0,12187.0,29633.0,16625.0,32209.0,9460.0,7431.0,35123.0,2614.0,140544.0,2543.0,8722.0,16455.0,32846.0,7841.0,18583.0,14679.0,11436.0,11972.0,1776.0,34632.0,11196.0,25775.0,3300.0,23799.0,12350.0,21565.0,20100.0,13388.0,23100.0,7584.0
2020-02-17,117000.0,65025.0,109298.0,272800.0,32995.0,11337.0,4580.0,41237.0,132999.0,6170.0,12247.0,29266.0,16681.0,32385.0,9300.0,7469.0,36932.0,2640.0,144000.0,2976.0,8820.0,16757.0,31685.0,7914.0,18710.0,14710.0,11433.0,11024.0,1785.0,34358.0,10973.0,25929.0,3305.0,23050.0,12444.0,21512.0,20147.0,14000.0,23804.0,7693.0
2020-02-18,115598.0,65192.0,110181.0,270625.0,32854.0,11100.0,4477.0,40455.0,130785.0,6175.0,12183.0,29856.0,16750.0,32350.0,9643.0,7383.0,36086.0,2577.0,143866.0,2923.0,8816.0,16361.0,31398.0,7898.0,18454.0,14575.0,11174.0,10873.0,1759.0,34000.0,10901.0,25781.0,3280.0,22700.0,12271.0,21276.0,20034.0,13788.0,23599.0,7716.0
2020-02-19,115866.0,64808.0,109900.0,270137.0,32613.0,11090.0,4463.0,40472.0,139569.0,6220.0,12129.0,31419.0,16764.0,32337.0,10600.0,7442.0,35834.0,2610.0,143847.0,2910.0,8800.0,17090.0,31508.0,7960.0,18384.0,14664.0,11314.0,10653.0,1740.0,34134.0,10870.0,25550.0,3300.0,22300.0,12052.0,21026.0,20142.0,14882.0,23274.0,7650.0
2020-02-20,117085.0,65081.0,111220.0,270400.0,32924.0,11150.0,4490.0,41479.0,136000.0,6105.0,12120.0,31719.0,16250.0,32900.0,10671.0,7361.0,35746.0,2614.0,141558.0,3679.0,8860.0,16500.0,31510.0,7805.0,18104.0,14300.0,10970.0,10560.0,1716.0,33716.0,10614.0,24997.0,3290.0,22615.0,12151.0,19941.0,19481.0,14662.0,22398.0,7690.0
2020-02-21,116378.0,65509.0,108486.0,266461.0,32402.0,11054.0,4375.0,41527.0,138540.0,5955.0,12022.0,33800.0,15953.0,33120.0,11361.0,7205.0,35810.0,2538.0,139090.0,3458.0,8739.0,16373.0,31627.0,7627.0,17902.0,14000.0,11068.0,10429.0,1697.0,34100.0,10754.0,24614.0,3334.0,21408.0,12571.0,18806.0,19227.0,14741.0,22799.0,7656.0
2020-02-24,110800.0,63576.0,105464.0,255159.0,30584.0,10748.0,4128.0,38050.0,126797.0,5715.0,11613.0,34300.0,15100.0,31947.0,11859.0,6938.0,32799.0,2400.0,134592.0,3270.0,8279.0,15008.0,29835.0,7315.0,17190.0,13472.0,10590.0,10082.0,1643.0,33449.0,10795.0,23700.0,3182.0,20700.0,12150.0,18250.0,18590.0,13550.0,20310.0,7325.0
2020-02-25,112214.0,63605.0,103788.0,260696.0,30775.0,10801.0,4150.0,38714.0,126391.0,5640.0,11464.0,32460.0,15019.0,32070.0,11323.0,6850.0,33112.0,2371.0,133682.0,3321.0,8104.0,15120.0,30150.0,7180.0,16950.0,13426.0,10360.0,9940.0,1630.0,33072.0,10441.0,23900.0,3210.0,20436.0,11939.0,18125.0,18288.0,13582.0,20400.0,7260.0
2020-02-26,112275.0,62040.0,101570.0,259491.0,30370.0,10690.0,4070.0,38081.0,125500.0,5964.0,11780.0,32180.0,16212.0,31400.0,11044.0,7122.0,31864.0,2240.0,136204.0,3279.0,8042.0,14400.0,29601.0,7621.0,17394.0,14421.0,11370.0,10656.0,1693.0,32768.0,10783.0,24743.0,3165.0,19506.0,11977.0,19158.0,19280.0,13065.0,19050.0,7156.0
